,Right_Hip_Angle,Right_Hip_Angle,Right_Hip_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Knee_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Ankle_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Pelvic_Angle,Right_Foot_Pitch_Angle
,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED,LINK_MODEL_BASED
ITEM,X,Y,Z,X.1,Y.1,Z.1,X.2,Y.2,Z.2,X.3,Y.3,Z.3,X.4
85.0,17.52368,3.16941,-0.49856,6.60575,-2.94828,-3.75577,-2.86246,15.49221,5.45821,12.43527,6.96229,169.59282,-1.1118
86.0,17.35736,3.06375,-0.2643,6.35878,-2.87612,-3.93141,-3.01206,15.59025,5.77021,12.44734,7.00871,169.21709,-1.10383
87.0,17.19984,2.95313,0.04066,6.09202,-2.82189,-4.14032,-3.17068,15.69358,6.02301,12.47254,7.0534,168.85823,-1.08811
88.0,17.04681,2.83287,0.3991,5.81637,-2.79894,-4.3765,-3.33281,15.79497,6.21389,12.50223,7.0798,168.52733,-1.06161
89.0,16.89886,2.70184,0.78107,5.54654,-2.80797,-4.63035,-3.4919,15.88223,6.35357,12.53116,7.08145,168.23036,-1.02305
90.0,16.75971,2.56303,1.14734,5.29982,-2.84154,-4.88729,-3.6412,15.94336,6.46018,12.5556,7.06183,167.96896,-0.97246
91.0,16.63393,2.42313,1.4597,5.0945,-2.8876,-5.13342,-3.77534,15.96886,6.55355,12.57125,7.03169,167.74081,-0.90992
92.0,16.52497,2.29288,1.69318,4.9488,-2.93267,-5.36302,-3.89039,15.95312,6.64894,12.57199,7.00596,167.53954,-0.83511
93.0,16.43343,2.18537,1.84111,4.87995,-2.96445,-5.58109,-3.98238,15.89487,6.75125,12.54937,6.99908,167.35477,-0.74805
94.0,16.35712,2.11369,1.91067,4.90266,-2.97452,-5.79792,-4.04551,15.79697,6.84876,12.49386,7.02015,167.17383,-0.65027
95.0,16.29474,2.0874,1.90903,5.02725,-2.9581,-6.01579,-4.0723,15.66593,6.90838,12.39868,7.07164,166.9839,-0.54519
